player_name,pitch_type,game_year,release_speed,effective_speed,release_extension,description,release_spin_rate,estimated_woba_using_speedangle,woba_value,woba_denom
"Yarbrough, Ryan",FC,2020,84.0,84.4,6.5,swinging_strike,2185,,0,1
"Urías, Julio",FF,2020,94.5,93.3,5.7,foul_tip,2572,,,
"Urías, Julio",FF,2020,95.3,93.8,5.7,hit_into_play,2401,0.421,0,1
"Castillo, Diego",SI,2020,96.8,95.6,5.5,hit_into_play,2051,0,0,1
"Urías, Julio",FF,2020,95.5,94.3,5.7,swinging_strike,2482,,,
"Urías, Julio",FF,2020,94.1,92.9,5.6,hit_into_play,2422,0.784,0,1
"Anderson, Nick",FF,2020,95.3,94.8,6.1,hit_into_play,2195,0.791,0.9,1
"Yarbrough, Ryan",SI,2020,88.4,88.6,6.7,foul,1949,,,
"Jansen, Kenley",FC,2020,92.4,94.4,7.8,hit_into_play,2561,0.87,0.9,1
"Urías, Julio",FF,2020,95.2,94,5.5,swinging_strike,2477,,0,1
"Castillo, Diego",SI,2020,96.4,95.2,5.5,hit_into_play,1934,0.632,0,1
"Urías, Julio",FF,2020,95.0,93.3,5.6,foul,2337,,,
"Urías, Julio",FF,2020,93.8,91.8,5.6,swinging_strike,2331,,,
"Yarbrough, Ryan",SI,2020,86.9,86.8,6.5,foul,1983,,,
"Anderson, Nick",FF,2020,95.1,94.4,6.2,foul,2178,,,
"Castillo, Diego",SI,2020,96.4,95.2,5.5,foul,2046,,,
"Urías, Julio",FF,2020,94.2,93.1,5.7,swinging_strike,2470,,0,0
"Castillo, Diego",SI,2020,95.5,93.9,5.4,foul,2053,,,
"Anderson, Nick",FF,2020,93.8,93.2,6.3,hit_into_play,2104,0.148,0,1
"Báez, Pedro",FF,2020,94.9,93.6,5.8,foul,2174,,,
"Curtiss, John",FF,2020,93.7,93.6,6.4,hit_into_play,2221,0.039,0,1
"Urías, Julio",FF,2020,95.4,94.3,5.6,swinging_strike,2467,,0,1
"Treinen, Blake",FC,2020,93.1,92.3,5.6,foul,2548,,,
"Yarbrough, Ryan",FC,2020,84.1,84.1,6.4,hit_into_play,2301,1.987,2,1
"Urías, Julio",SI,2020,95.1,93.6,5.7,foul,2618,,,
"Fairbanks, Pete",FF,2020,99.2,99.7,6.9,hit_into_play,2323,0.988,0.9,1
"Anderson, Nick",FF,2020,96.8,96.1,6,foul,2100,,,
"Treinen, Blake",FC,2020,93.3,92.4,5.6,foul,2535,,,
"Loup, Aaron",SI,2020,94.7,94.6,6.3,swinging_strike,2133,,0,1
"Castillo, Diego",SI,2020,97.2,95.6,5.4,swinging_strike,1980,,0,1
"Curtiss, John",FF,2020,94.7,94,6,hit_into_play,2276,0.192,0.9,1
"Treinen, Blake",FC,2020,94.0,93.5,5.7,foul,2548,,,
"Báez, Pedro",FF,2020,95.4,95.1,5.9,swinging_strike,2134,,0,1
"Jansen, Kenley",SI,2020,92.0,94,7.5,hit_into_play,2117,0.484,0,1
"Yarbrough, Ryan",SI,2020,88.1,88.1,6.4,hit_into_play,2070,0.748,0,1
"Curtiss, John",FF,2020,92.7,92.2,6.2,hit_into_play,2136,0.019,0,1
"Loup, Aaron",SI,2020,94.2,93.9,6.2,swinging_strike,2163,,,
"Anderson, Nick",FF,2020,94.6,94.4,6.2,foul,2148,,,
"Kolarek, Adam",SI,2020,90.1,89.8,6.6,swinging_strike,2241,,0,1
"Urías, Julio",FF,2020,95.0,93.8,5.7,foul,2481,,,
"Loup, Aaron",FC,2020,87.1,86.5,6.1,hit_into_play,2403,0.842,1.25,1
"Anderson, Nick",FF,2020,95.6,95.6,6.4,hit_into_play,2080,0.956,0.9,1
"Fairbanks, Pete",FF,2020,99.0,100,6.9,hit_into_play,2308,0.007,0,1
"Kolarek, Adam",SI,2020,90.6,90.8,6.5,foul,2291,,,
"Jansen, Kenley",SI,2020,91.5,93.1,7.3,foul,2150,,,
"Graterol, Brusdar",SI,2020,99.7,98.4,5.7,hit_into_play,1927,0.01,0,1
"Loup, Aaron",SI,2020,94.8,94.5,6.3,foul,2166,,,
"Kolarek, Adam",SI,2020,90.6,90.2,6.5,hit_into_play,2245,0.099,0,1
"Jansen, Kenley",FC,2020,92.7,94.4,7.5,hit_into_play,2531,0.707,0.9,1
"Loup, Aaron",SI,2020,95.0,94.5,6,swinging_strike,2199,,,
"Yarbrough, Ryan",FC,2020,81.6,81.6,6.3,hit_into_play,2304,0,0,1
"Urías, Julio",FF,2020,95.7,94.5,5.9,foul_tip,2475,,0,1
"Thompson, Ryan",SI,2020,91.5,90.5,6.4,hit_into_play,1931,0.138,0,1
"Loup, Aaron",SI,2020,95.2,94.5,6,foul,2265,,,
"Jansen, Kenley",SI,2020,93.9,94.3,6.8,swinging_strike,2267,,0,1
"Báez, Pedro",FF,2020,95.4,94.8,5.9,hit_into_play,2161,1.69,2,1
"Graterol, Brusdar",SI,2020,100.1,98.3,5.6,hit_into_play,1977,0.506,0.9,1
"Jansen, Kenley",SI,2020,91.1,93,7.5,swinging_strike,2214,,,
"Fairbanks, Pete",FF,2020,99.4,99.8,6.9,hit_into_play,2429,0.863,0.9,1
"Yarbrough, Ryan",FC,2020,82.8,82.3,6,foul,2267,,,
"Anderson, Nick",FF,2020,97.3,96.7,6.1,swinging_strike,2294,,0,1
"Jansen, Kenley",FC,2020,88.6,90,7.1,foul,2415,,,
"Fairbanks, Pete",FF,2020,99.8,100,6.8,swinging_strike,2446,,0,1
"Thompson, Ryan",SI,2020,92.6,93.4,6.8,foul,1960,,,
"Fairbanks, Pete",FF,2020,99.5,100.1,6.8,foul,2412,,,
"Loup, Aaron",SI,2020,94.2,93.6,6.1,hit_into_play,2232,0.237,0.9,1
"Graterol, Brusdar",SI,2020,99.6,97.7,5.7,swinging_strike,1934,,,
"Yarbrough, Ryan",SI,2020,87.1,86.7,6.4,foul,2046,,,
"Anderson, Nick",FF,2020,95.6,95.6,6,foul,2095,,,
"Loup, Aaron",SI,2020,94.0,93.3,6.2,foul,2184,,,
"Anderson, Nick",FF,2020,95.2,95,6,swinging_strike,2155,,,
"Treinen, Blake",SI,2020,97.2,96.1,5.6,hit_into_play,2192,0.153,0,1
"Fairbanks, Pete",FF,2020,98.7,99.1,6.8,swinging_strike,2452,,,
