player_name,pitch_type,game_year,release_speed,effective_speed,release_extension,description,release_spin_rate,estimated_woba_using_speedangle,woba_value,woba_denom
"Nola, Aaron",FF,2020,92.3,93.4,7.2,hit_into_play,2264,0.839,0.9,1
"Rodriguez, Nivaldo",FF,2020,93.9,93.9,6.1,swinging_strike,1860,,,
"Pivetta, Nick",FF,2020,91.8,91.9,6.6,foul,2259,,,
"Smyly, Drew",FF,2020,92.8,92,5.8,swinging_strike,2274,,,
"Fleming, Josh",SI,2020,91.6,92,6.7,hit_into_play,1866,0.572,0,1
"Freeland, Kyle",SI,2020,88.3,88.1,6.4,foul,2392,,,
"Gonzales, Marco",SI,2020,87.2,87.9,6.6,foul,2200,,,
"Matz, Steven",SI,2020,94.7,95.2,6.5,foul,2252,,,
"Voth, Austin",FF,2020,93.2,93.4,6.5,foul,2231,,,
"Bumgarner, Madison",FF,2020,89.4,89.9,6.9,foul,2324,,,
"Gray, Sonny",SI,2020,91.9,91.9,6.4,hit_into_play,2348,0.239,0,1
"Singer, Brady",SI,2020,92.0,92.2,6.5,hit_into_play,2271,0.054,0,1
"Brubaker, JT",SI,2020,92.0,91.6,5.8,hit_into_play,2175,0.384,0.9,1
"Fleming, Josh",SI,2020,91.1,91.5,6.8,swinging_strike,1898,,,
"Gonzales, Marco",SI,2020,86.4,87.3,6.6,foul,2156,,,
"Lyles, Jordan",FF,2020,92.7,93.9,6.9,foul,2248,,,
"Pivetta, Nick",FF,2020,91.0,91.6,6.8,swinging_strike,2260,,0,1
"Rodriguez, Nivaldo",FF,2020,92.6,92.3,6,foul,2011,,,
"Bumgarner, Madison",FF,2020,89.4,90.1,6.8,hit_into_play,2292,0.204,0,1
"Skubal, Tarik",FF,2020,94.0,94.1,6.2,foul,2362,,,
"Gray, Sonny",SI,2020,92.9,92.8,6.5,swinging_strike,2373,,0,1
"Montas, Frankie",FF,2020,96.4,96.1,6,hit_into_play,2484,0.63,0.9,1
"Hill, Rich",SI,2020,83.5,83,6.1,swinging_strike,2270,,0,1
"Bumgarner, Madison",FF,2020,89.8,90.5,7,hit_into_play,2412,0.36,0,1
"Voth, Austin",FC,2020,86.7,87,6.4,hit_into_play,2474,0.019,0,1
"Castano, Daniel",SI,2020,84.1,84.2,6.4,swinging_strike,1705,,,
"Nola, Aaron",FF,2020,92.7,93.6,7.2,foul,2224,,,
"Roark, Tanner",FF,2020,90.7,90.4,5.8,swinging_strike,1991,,,
"Matz, Steven",SI,2020,94.7,95.3,6.5,foul,2195,,,
"Schmidt, Clarke",SI,2020,93.5,91.6,5.5,hit_into_play,2311,0.255,0,1
"Skubal, Tarik",FF,2020,94.0,93.2,6.1,hit_into_play,2386,0.078,0,1
"May, Dustin",SI,2020,96.9,97.5,6.4,hit_into_play,2413,0.168,0,1
"Fleming, Josh",FC,2020,86.2,86.7,6.7,foul,1755,,,
"Gonzales, Marco",SI,2020,87.6,88.4,6.6,hit_into_play,2175,,0,1
"Matz, Steven",SI,2020,94.7,95,6.5,foul,2347,,,
"Freeland, Kyle",FF,2020,91.6,91.9,6.8,hit_into_play,2432,0.15,0,1
"De Jong, Chase",FF,2020,92.8,91.7,5.8,hit_into_play,2418,1.954,2,1
"Wilson, Bryse",SI,2020,93.0,93.4,6.5,foul,1851,,,
"Brubaker, JT",SI,2020,94.5,93.7,5.9,hit_into_play,2280,0.018,0,1
"Gonzales, Marco",FC,2020,83.0,83.9,6.5,hit_into_play,2167,0.188,0.9,1
"Smyly, Drew",FF,2020,93.3,92.6,5.7,hit_into_play,2310,0.09,0,1
"Pivetta, Nick",FF,2020,92.8,93.6,6.9,swinging_strike,2309,,,
"Castano, Daniel",SI,2020,84.7,84.5,6.2,swinging_strike,1940,,0,1
"May, Dustin",SI,2020,98.6,99.1,6.5,hit_into_play,2395,0.861,0.9,1
"Montas, Frankie",SI,2020,96.9,96.3,5.8,hit_into_play,2292,0.146,0,1
"Gray, Sonny",SI,2020,92.9,92.1,5.9,swinging_strike,2335,,,
"Smyly, Drew",FF,2020,92.9,92.1,5.8,foul,2260,,,
"Peralta, Freddy",FF,2020,91.6,93.2,7.2,foul,2315,,,
"Bumgarner, Madison",FF,2020,90.1,90.9,6.9,foul,2420,,,
"May, Dustin",FC,2020,92.1,93.5,6.6,hit_into_play,2718,0.119,0,1
"Fleming, Josh",SI,2020,91.3,91.4,6.8,hit_into_play,1824,0.305,0.9,1
"Hill, Rich",FF,2020,87.7,87.7,6.2,foul,2339,,,
"De Jong, Chase",FF,2020,93.4,92.4,5.8,hit_into_play,2466,0.397,0.9,1
"Fleming, Josh",FC,2020,86.3,86.5,6.7,hit_into_play,1821,0.294,0,1
"Castano, Daniel",SI,2020,84.3,84.3,6.2,swinging_strike,1957,,,
"Smyly, Drew",FC,2020,86.5,86.4,5.9,foul,2320,,,
"Wilson, Bryse",SI,2020,92.8,93.2,6.5,hit_into_play,2037,0.222,0,1
"Singer, Brady",SI,2020,93.2,94.9,7,hit_into_play,2205,0.06,0,1
"Matz, Steven",SI,2020,94.9,95.6,6.5,hit_into_play,2182,0.593,0,1
